   date    |  time |                 name                 | result |   phone   | length | transcript
29-08-2020 | 19:24 | fdcd83f8-3472-4dbd-b983-8605f3bad108 |    1   |    123    |  2.4   | алло говорите
29-08-2020 | 19:25 | 9b8a925c-4eb5-4203-9e8a-4cef9551515a |    1   |    123    |  3.6   | ну да удобно его слушаю
29-08-2020 | 19:53 | 523cf480-e7b0-47ae-8286-c714fe820d96 |    1   |    123    |  2.4   | алло говорите
29-08-2020 | 19:56 | 60ff2057-6d1c-4a63-b2e5-d05ab6225edd |    0   |    123    |  5.7   | вас приветствует автоответчик оставьте сообщение после сигнала
29-08-2020 | 19:57 | 509b35e5-1830-4155-a2b4-c102d52e3883 |    0   |    123    |  5.7   | вас приветствует автоответчик оставьте сообщение после сигнала
29-08-2020 | 19:57 | 0c423a8b-7275-4697-b8b4-ea51fbde338c |    0   |    123    |  5.7   | вас приветствует автоответчик оставьте сообщение после сигнала
29-08-2020 | 20:05 | 5bbac390-2a15-4ef4-9acc-29acc0c47301 |    0   |    123    |  5.7   | вас приветствует автоответчик оставьте сообщение после сигнала
29-08-2020 | 20:28 | fa66bd00-cdf0-4b47-8e80-09788252b647 |    1   |    123    |  2.4   | алло говорите
29-08-2020 | 20:35 | 6270ac96-2798-44d0-a529-5c20af8b94fb |    1   |    123    |  2.4   | алло говорите
29-08-2020 | 20:36 | 22f397e2-db8a-478d-a415-1ad069910571 |    1   |    123    |  2.4   | алло говорите
29-08-2020 | 20:45 | 476b0c50-ff13-4aca-ad6a-0f691109b4ef |    1   |    123    |  2.4   | алло говорите
29-08-2020 | 21:04 | ee786211-6efe-4827-b454-f0daea037071 |    0   |    123    |  5.7   | вас приветствует автоответчик оставьте сообщение после сигнала
29-08-2020 | 21:21 | 86208ee4-d823-43ff-8e93-5a1467db3304 |    1   |    123    |  2.4   | алло говорите
29-08-2020 | 21:25 | 5de8810b-b5aa-4700-9aaa-ac812c46fa70 |    1   |    123    |  2.4   | алло говорите
29-08-2020 | 21:26 | e19ab0f0-f21d-4022-818f-9b6e577855d7 |    1   |    123    |  2.4   | алло говорите
29-08-2020 | 22:08 | be9bbfa0-1e75-49ad-af7f-e1d110053926 |    1   |    123    |  3.6   | ну да удобно его слушаю
29-08-2020 | 22:28 | 6b0d34af-34ba-4666-a8d7-2e8dd7501afb |    0   |    123    |  3.6   | нет я сейчас на работе до свидания
29-08-2020 | 22:54 | 91d2ccf0-3847-4ec0-96d7-3d0cad8c1e6f |    0   |    123    |  5.7   | вас приветствует автоответчик оставьте сообщение после сигнала
29-08-2020 | 23:01 | 7017205d-ba05-498a-a307-ec2c8910557b |    1   |    123    |  2.4   | алло говорите
